algorithmCode,scenarioCode,caseCount,repetitions,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs
HYBRID_PRIORITY_CP_SAT,BASELINE,10,3,4,6,55,35.25,68.75,0,0,0,0.6541,0,72
ABLATION_NO_PRIORITY,BASELINE,10,3,4,6,50,18.56,64.75,0,0,0,0.6711,0,57
ABLATION_NO_WAITING,BASELINE,10,3,4,6,55,35.2533,71.75,1.1667,0,0,0.6541,0,61.6667
ABLATION_THROUGHPUT_ONLY,BASELINE,10,3,4,6,51.6667,24.5033,70.0833,1.3333,0,0,0.6654,0,46.6667
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,10,3,3,7,60.71,44.67,68.75,0,0,0,0.7049,0,35
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,10,3,3,7,46.43,0.83,2.5,0,0,0,0.7752,0,38
ABLATION_NO_WAITING,RESOURCE_TIGHT,10,3,3,7,60.71,45.3333,68.75,2,0,0,0.7049,0,41
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,10,3,3,7,51.19,16.1633,45.3333,1.3333,0,0,0.7486,0,38
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,10,3,4,6,55,18.44,71.25,0.8333,0,0,0.6541,0,46.6667
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,10,3,4,6,50,2.12,6,0.8333,0,0,0.6711,0,50
ABLATION_NO_WAITING,EMERGENCY_SURGE,10,3,4,6,55,19.1433,71.75,1.6111,0,0,0.6541,0,56.6667
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,10,3,4,6,53.3333,19.81,69.5833,1.75,0,0,0.6598,0,41.3333
HYBRID_PRIORITY_CP_SAT,BASELINE,25,3,7,18,72.5,2.79,7.5,1.5,0,0,0.8742,0,134
ABLATION_NO_PRIORITY,BASELINE,25,3,7,18,72.5,2.79,7.5,1.5,0,0,0.8742,0,157.6667
ABLATION_NO_WAITING,BASELINE,25,3,7,18,72.5,2.79,7.5,1.5,0,0,0.8742,0,140.3333
ABLATION_THROUGHPUT_ONLY,BASELINE,25,3,7,18,72.5,2.9067,7.5,1.7778,0,0,0.8742,0,156.3333
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,25,3,5,20,82.14,27.7,68.75,1.5,0,0,0.9549,0,98.6667
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,25,3,5,20,67.86,1.4,3,1.5,0,0,0.9972,0,92
ABLATION_NO_WAITING,RESOURCE_TIGHT,25,3,5,20,82.14,28.3,68.75,2.5,0,0,0.9549,0,80.6667
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,25,3,5,20,75,15.3167,46.5,2.1667,0,0,0.9774,0,92.3333
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,25,3,7,18,77.5,2.79,7.5,1.125,0,0,0.9223,0,254.6667
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,25,3,7,18,72.5,2.79,7.5,1.125,0,0,0.8742,0,243.3333
ABLATION_NO_WAITING,EMERGENCY_SURGE,25,3,7,18,77.5,2.93,7.5,1.7917,0,0,0.9223,0,245
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,25,3,7,18,72.5,2.8833,7.5,1.7083,0,0,0.8742,0,185.6667
HYBRID_PRIORITY_CP_SAT,BASELINE,50,3,7,43,72.5,2.79,7.5,1.5,0,0,0.8742,0,401.3333
ABLATION_NO_PRIORITY,BASELINE,50,3,7,43,72.5,2.79,7.5,1.5,0,0,0.8742,0,425.6667
ABLATION_NO_WAITING,BASELINE,50,3,7,43,72.5,2.79,7.5,1.5,0,0,0.8742,0,382.6667
ABLATION_THROUGHPUT_ONLY,BASELINE,50,3,7,43,72.5,2.79,7.5,1.5,0,0,0.8742,0,414
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,50,3,5,45,82.14,27.7,68.75,1.5,0,0,0.9549,0,266.6667
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,50,3,5,45,67.86,1.4,3,1.5,0,0,0.9972,0,272.6667
ABLATION_NO_WAITING,RESOURCE_TIGHT,50,3,5,45,82.14,28.1667,68.75,2.2778,0,0,0.9549,0,278
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,50,3,5,45,70.24,6.2833,24.0833,1.9444,0,0,0.9915,0,251
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,50,3,7,43,74.1667,2.79,7.5,1.4,0,0,0.8902,0,577.6667
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,50,3,7,43,72.5,2.79,7.5,1.375,0,0,0.8742,0,623
ABLATION_NO_WAITING,EMERGENCY_SURGE,50,3,7,43,75.8333,2.9767,7.5,1.6667,0,0,0.9063,0,565.3333
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,50,3,7,43,72.5,2.93,7.5,1.7083,0,0,0.8742,0,468.6667
