algorithmCode,scenarioCode,caseCount,repetitions,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs
PRIORITY_GREEDY,BASELINE,25,3,2,23,15,0,0,0,0,0,0.9,0,1.6667
PURE_CP_SAT,BASELINE,25,3,2,23,15,0,0,0,0,0,0.9,0,39.6667
HYBRID_PRIORITY_CP_SAT,BASELINE,25,3,2,23,15,0,0,0,0,0,0.9,0,33.6667
PRIORITY_GREEDY,RESOURCE_TIGHT,25,3,2,23,21.43,0,0,0,0,0,0.9,0,2.3333
PURE_CP_SAT,RESOURCE_TIGHT,25,3,2,23,21.43,0,0,0,0,0,0.9,0,25.3333
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,25,3,2,23,21.43,0,0,0,0,0,0.9,0,26
PRIORITY_GREEDY,EMERGENCY_SURGE,25,3,5,20,62.5,1.8,4,1.8,0,0,0.9858,0,4.6667
PURE_CP_SAT,EMERGENCY_SURGE,25,3,6,19,55,1.58,4,1.5833,0,0,0.968,0,106.3333
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,25,3,6,19,55,1.58,4,1.5833,0,0,0.968,0,100.6667
PRIORITY_GREEDY,BASELINE,50,3,2,48,15,0,0,0,0,0,0.9,0,2.3333
PURE_CP_SAT,BASELINE,50,3,2,48,15,0,0,0,0,0,0.9,0,38.3333
HYBRID_PRIORITY_CP_SAT,BASELINE,50,3,2,48,15,0,0,0,0,0,0.9,0,30
PRIORITY_GREEDY,RESOURCE_TIGHT,50,3,2,48,21.43,0,0,0,0,0,0.9,0,2.3333
PURE_CP_SAT,RESOURCE_TIGHT,50,3,2,48,21.43,0,0,0,0,0,0.9,0,35.6667
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,50,3,2,48,21.43,0,0,0,0,0,0.9,0,32
PRIORITY_GREEDY,EMERGENCY_SURGE,50,3,5,45,65,1.9,4,1.9,0,0,0.9941,0,10.3333
PURE_CP_SAT,EMERGENCY_SURGE,50,3,6,44,51.6667,1.58,4,1.5833,0,0,0.9934,0,215
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,50,3,6,44,50,1.58,4,1.5833,0,0,0.9901,0,221.3333
PRIORITY_GREEDY,BASELINE,100,3,2,98,15,0,0,0,0,0,0.9,0,2.6667
PURE_CP_SAT,BASELINE,100,3,2,98,15,0,0,0,0,0,0.9,0,35.6667
HYBRID_PRIORITY_CP_SAT,BASELINE,100,3,2,98,15,0,0,0,0,0,0.9,0,36.3333
PRIORITY_GREEDY,RESOURCE_TIGHT,100,3,2,98,21.43,0,0,0,0,0,0.9,0,3.6667
PURE_CP_SAT,RESOURCE_TIGHT,100,3,2,98,21.43,0,0,0,0,0,0.9,0,30
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,100,3,2,98,21.43,0,0,0,0,0,0.9,0,34
PRIORITY_GREEDY,EMERGENCY_SURGE,100,3,4,96,52.5,1.5,3.5,1.5,0,0,0.98,0,18.6667
PURE_CP_SAT,EMERGENCY_SURGE,100,3,7,93,52.5,1.71,4,1.7143,0,0,0.98,0,759.3333
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,100,3,7,93,57.5,1.71,4,1.7143,0,0,0.9826,0,779.3333
