algorithmCode,scenarioCode,caseCount,repetition,randomSeed,solverAlgorithm,solverStatus,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs,createdAt
ABLATION_NO_PRIORITY,BASELINE,25,1,42,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,42,2026-08-21 23:54:50
ABLATION_NO_PRIORITY,BASELINE,25,2,43,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,42,2026-08-21 23:54:50
ABLATION_NO_PRIORITY,BASELINE,25,3,44,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,30,2026-08-21 23:54:51
ABLATION_NO_WAITING,BASELINE,25,1,42,CP_SAT_V1,OPTIMAL,2,23,15.00,4.50,8.00,1.00,0,0,0.9000,0,34,2026-08-21 23:54:51
ABLATION_NO_WAITING,BASELINE,25,2,43,CP_SAT_V1,OPTIMAL,2,23,15.00,0.50,1.00,0.00,0,0,0.9000,0,47,2026-08-21 23:54:51
ABLATION_NO_WAITING,BASELINE,25,3,44,CP_SAT_V1,OPTIMAL,2,23,15.00,4.00,8.00,0.00,0,0,0.9000,0,34,2026-08-21 23:54:51
ABLATION_THROUGHPUT_ONLY,BASELINE,25,1,42,CP_SAT_V1,OPTIMAL,2,23,15.00,4.50,8.00,1.00,0,0,0.9000,0,40,2026-08-21 23:54:51
ABLATION_THROUGHPUT_ONLY,BASELINE,25,2,43,CP_SAT_V1,OPTIMAL,2,23,15.00,4.50,8.00,1.00,0,0,0.9000,0,31,2026-08-21 23:54:51
ABLATION_THROUGHPUT_ONLY,BASELINE,25,3,44,CP_SAT_V1,OPTIMAL,2,23,15.00,4.50,8.00,1.00,0,0,0.9000,0,46,2026-08-21 23:54:51
HYBRID_PRIORITY_CP_SAT,BASELINE,25,1,42,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,37,2026-08-21 23:54:50
HYBRID_PRIORITY_CP_SAT,BASELINE,25,2,43,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,35,2026-08-21 23:54:50
HYBRID_PRIORITY_CP_SAT,BASELINE,25,3,44,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,32,2026-08-21 23:54:50
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,25,1,42,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,117,2026-08-21 23:54:57
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,25,2,43,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,117,2026-08-21 23:54:57
