algorithmCode,scenarioCode,caseCount,repetition,randomSeed,solverAlgorithm,solverStatus,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs,createdAt
HYBRID_PRIORITY_CP_SAT,BASELINE,10,1,42,CP_SAT_V1,OPTIMAL,6,4,72.50,0.56,2.67,0.75,0,0,0.9894,0,155,2026-08-25 02:24:41
HYBRID_PRIORITY_CP_SAT,BASELINE,10,2,43,CP_SAT_V1,OPTIMAL,8,2,90.00,1.12,2.50,1.22,0,0,0.9969,0,173,2026-08-25 02:24:41
HYBRID_PRIORITY_CP_SAT,BASELINE,10,3,44,CP_SAT_V1,OPTIMAL,8,2,82.50,0.93,2.61,1.12,0,0,0.9991,0,171,2026-08-25 02:24:41
HYBRID_PRIORITY_CP_SAT,BASELINE,10,4,45,CP_SAT_V1,OPTIMAL,7,3,80.00,1.00,2.50,1.29,0,0,0.9961,0,200,2026-08-25 02:24:42
HYBRID_PRIORITY_CP_SAT,BASELINE,10,5,46,CP_SAT_V1,OPTIMAL,8,2,87.50,1.24,3.67,1.28,0,0,0.9992,0,222,2026-08-25 02:24:42
PRIORITY_GREEDY,BASELINE,10,1,42,PRIORITY_GREEDY_V1,FEASIBLE,6,4,77.50,1.94,3.67,2.08,0,0,0.9515,0,7,2026-08-25 02:24:38
PRIORITY_GREEDY,BASELINE,10,2,43,PRIORITY_GREEDY_V1,FEASIBLE,8,2,90.00,1.26,2.67,1.22,0,0,0.9969,0,20,2026-08-25 02:24:39
PRIORITY_GREEDY,BASELINE,10,3,44,PRIORITY_GREEDY_V1,FEASIBLE,8,2,85.00,1.47,3.28,1.42,0,0,0.9966,0,17,2026-08-25 02:24:39
PRIORITY_GREEDY,BASELINE,10,4,45,PRIORITY_GREEDY_V1,FEASIBLE,7,3,87.50,1.83,3.78,1.90,0,0,0.9927,0,18,2026-08-25 02:24:39
PRIORITY_GREEDY,BASELINE,10,5,46,PRIORITY_GREEDY_V1,FEASIBLE,8,2,90.00,1.65,3.06,1.38,0,0,1.0000,0,17,2026-08-25 02:24:39
